iter	Passed	Remaining
592	12888	8846
593	12913	8826
594	12939	8807
595	12965	8788
596	12991	8769
597	13018	8751
598	13043	8731
599	13067	8711
600	13091	8691
601	13119	8673
602	13145	8654
603	13172	8636
604	13196	8615
605	13222	8596
606	13246	8576
607	13272	8557
608	13298	8538
609	13325	8519
610	13351	8500
611	13376	8480
612	13407	8464
613	13431	8443
614	13457	8424
615	13482	8404
616	13507	8384
617	13531	8364
618	13565	8349
619	13597	8333
620	13623	8314
621	13646	8293
622	13671	8272
623	13697	8253
624	13724	8234
625	13753	8216
626	13782	8199
627	13813	8182
628	13840	8163
629	13867	8144
630	13895	8125
631	13922	8106
632	13950	8088
633	13980	8070
634	14006	8051
635	14037	8034
636	14069	8017
637	14102	8001
638	14133	7984
639	14163	7966
640	14193	7949
641	14224	7931
642	14256	7915
643	14286	7897
644	14318	7880
645	14348	7862
646	14384	7848
647	14415	7830
648	14450	7815
649	14485	7799
650	14516	7782
651	14554	7768
652	14590	7753
653	14626	7737
654	14657	7720
655	14695	7706
656	14728	7689
657	14766	7674
658	14800	7658
659	14837	7643
660	14870	7626
661	14903	7609
662	14935	7591
663	14972	7576
664	15006	7559
665	15041	7543
666	15079	7528
667	15112	7511
668	15146	7493
669	15181	7477
670	15215	7460
671	15248	7442
672	15285	7426
673	15319	7409
674	15353	7392
675	15388	7375
676	15427	7360
677	15461	7343
678	15499	7327
679	15540	7313
680	15579	7297
681	15616	7281
682	15665	7270
683	15708	7257
684	15751	7243
685	15796	7230
686	15843	7218
687	15888	7205
688	15960	7204
689	16003	7190
690	16049	7176
691	16095	7164
692	16141	7150
693	16187	7137
694	16228	7121
695	16274	7108
696	16317	7093
697	16357	7077
698	16396	7060
699	16443	7047
700	16485	7031
701	16528	7016
702	16579	7004
703	16619	6987
704	16662	6972
705	16708	6958
706	16758	6945
707	16799	6928
708	16847	6914
709	16890	6898
710	16937	6884
711	16982	6869
712	17030	6855
713	17079	6841
714	17130	6828
715	17175	6812
716	17220	6796
717	17261	6779
718	17297	6760
719	17332	6740
720	17365	6719
721	17399	6699
722	17436	6680
723	17470	6659
724	17503	6639
725	17540	6619
726	17577	6600
727	17612	6580
728	17648	6560
729	17681	6539
730	17717	6519
731	17753	6499
732	17788	6479
733	17824	6459
734	17864	6440
735	17902	6421
736	17940	6402
737	17975	6381
738	18016	6362
739	18053	6343
740	18090	6323
741	18128	6303
742	18165	6283
743	18199	6262
744	18239	6242
745	18277	6223
746	18324	6206
747	18361	6185
748	18400	6166
749	18438	6146
750	18478	6126
751	18516	6106
752	18553	6086
753	18592	6066
754	18630	6045
755	18662	6023
756	18701	6003
757	18739	5982
758	18774	5961
759	18808	5939
760	18846	5918
761	18880	5896
762	18912	5874
763	18951	5854
764	18985	5832
765	19021	5810
766	19056	5789
767	19089	5766
768	19126	5745
769	19160	5723
770	19194	5701
771	19231	5679
772	19271	5659
773	19321	5641
774	19368	5623
775	19411	5603
776	19452	5582
777	19499	5564
778	19536	5542
779	19575	5521
780	19611	5499
781	19648	5477
782	19682	5454
783	19719	5432
784	19752	5409
785	19787	5387
786	19821	5364
787	19861	5343
788	19904	5322
789	19940	5300
790	19977	5278
791	20023	5258
792	20067	5238
793	20110	5217
794	20154	5197
795	20199	5176
796	20239	5155
797	20285	5134
798	20325	5113
799	20373	5093
800	20426	5074
801	20482	5056
802	20523	5034
803	20572	5015
804	20610	4992
805	20659	4972
806	20696	4949
807	20733	4926
808	20775	4904
809	20819	4883
810	20857	4860
811	20895	4837
812	20935	4815
813	20984	4795
814	21023	4772
815	21059	4748
816	21094	4724
817	21129	4701
818	21164	4677
819	21201	4654
820	21239	4630
821	21275	4607
822	21312	4583
823	21350	4560
824	21385	4536
825	21421	4512
826	21457	4488
827	21493	4464
828	21532	4441
829	21571	4418
830	21607	4394
831	21652	4372
832	21698	4350
833	21750	4329
834	21809	4309
835	21855	4287
836	21893	4263
837	21946	4242
838	21999	4221
839	22055	4200
840	22090	4176
841	22131	4152
842	22176	4130
843	22229	4108
844	22292	4089
845	22330	4064
846	22367	4040
847	22410	4016
848	22463	3995
849	22515	3973
850	22557	3949
851	22607	3927
852	22665	3905
853	22723	3884
854	22770	3861
855	22840	3842
856	22881	3817
857	22924	3794
858	22982	3772
859	23039	3750
860	23083	3726
861	23122	3701
862	23163	3677
863	23215	3654
864	23264	3630
865	23315	3607
866	23355	3582
867	23395	3557
868	23445	3534
869	23499	3511
870	23551	3488
871	23597	3463
872	23640	3439
873	23687	3414
874	23737	3391
875	23794	3368
876	23842	3343
877	23876	3317
878	23921	3292
879	23967	3268
880	24016	3244
881	24071	3220
882	24111	3194
883	24148	3168
884	24183	3142
885	24237	3118
886	24288	3094
887	24343	3070
888	24382	3044
889	24423	3018
890	24465	2993
891	24511	2967
892	24568	2943
893	24620	2919
894	24679	2895
895	24719	2869
896	24755	2842
897	24790	2815
898	24833	2789
899	24870	2763
900	24913	2737
901	24954	2711
902	25008	2686
903	25051	2660
904	25100	2634
905	25142	2608
906	25182	2582
907	25229	2556
908	25288	2531
909	25334	2505
910	25380	2479
911	25416	2452
912	25462	2426
913	25515	2400
914	25567	2375
915	25613	2348
916	25651	2321
917	25691	2294
918	25733	2268
919	25776	2241
920	25826	2215
921	25888	2190
922	25936	2163
923	25976	2136
924	26016	2109
925	26079	2084
926	26133	2058
927	26184	2031
928	26220	2003
929	26263	1976
930	26296	1948
931	26334	1921
932	26375	1894
933	26429	1867
934	26474	1840
935	26518	1813
936	26564	1786
937	26608	1758
938	26650	1731
939	26697	1704
940	26734	1676
941	26771	1648
942	26809	1620
943	26846	1592
944	26883	1564
945	26919	1536
946	26958	1508
947	26991	1480
948	27028	1452
949	27065	1424
950	27104	1396
951	27144	1368
952	27182	1340
953	27217	1312
954	27258	1284
955	27295	1256
956	27332	1228
957	27369	1199
958	27405	1171
959	27436	1143
960	27471	1114
961	27504	1086
962	27544	1058
963	27580	1029
964	27622	1001
965	27655	973
966	27687	944
967	27719	916
968	27753	887
969	27784	859
970	27814	830
971	27844	802
972	27873	773
973	27909	745
974	27933	716
975	27957	687
976	27981	658
977	28006	630
978	28032	601
979	28057	572
980	28081	543
981	28106	515
982	28131	486
983	28155	457
984	28177	429
985	28203	400
986	28223	371
987	28242	343
988	28262	314
989	28282	285
990	28301	257
991	28329	228
992	28358	199
993	28383	171
994	28404	142
995	28425	114
996	28443	85
997	28461	57
998	28480	28
999	28499	0
